latitude,longitude,cell,row,column
22.535159,114.10888200000001,10-22,10,22
22.535120000000003,114.105148,10-22,10,22
22.535358,114.097209,10-21,10,21
22.534803,114.089827,10-21,10,21
22.533970999999998,114.085493,10-21,10,21
22.531236,114.08386200000001,10-21,10,21
22.529332999999998,114.082274,10-21,10,21
22.529214,114.07905600000001,10-21,10,21
22.528738,114.07266100000001,10-21,10,21
22.527985,114.072404,10-21,10,21
22.528817999999998,114.07326200000001,10-21,10,21
22.536944000000002,114.07326200000001,10-21,10,21
22.539837,114.07236100000001,10-21,10,21
22.542216,114.07313300000001,10-21,10,21
22.546078,114.07301000000001,10-21,10,21
22.556322,114.07291200000002,11-21,11,21
22.567429,114.07271399999999,11-21,11,21
22.570570999999997,114.072616,11-21,11,21
22.573712,114.070545,11-21,11,21
22.574986,114.065615,11-21,11,21
22.576760999999998,114.063249,11-21,11,21
22.581858999999998,114.058714,11-21,11,21
22.583543,114.05462299999999,11-21,11,21
22.591236,114.05023500000001,11-21,11,21
22.594467,114.044467,11-20,11,20
22.606573,114.032439,12-20,12,20
22.616682,114.022585,12-20,12,20
22.61676,114.022687,12-20,12,20
22.616677,114.02278600000001,12-20,12,20
22.614511,114.024988,12-20,12,20
22.612347,114.02800500000001,12-20,12,20
22.610872,114.02941100000001,12-20,12,20
22.610285,114.02999399999999,12-20,12,20
