route_number,duration_in_seconds,distance_in_km
2199,1863.0000000000002,31.614528798322958
68764,1922.0000000000002,32.19416226260622
77076,2411.0,40.665238827928654
88126,1882.0000000000002,31.366844270782448
157306,704.0,34.055851235518375
161621,2097.0,39.03398850113527
164730,2754.0,38.54790023325037
178778,1919.0000000000002,33.00032698779948
208721,3000.0,41.0685836699754
228565,2213.0,40.121258089354484
235842,2642.0,42.49993540277598
262969,1860.0000000000002,50.6245897055005
277593,3724.0000000000005,38.073021193446635
293275,3029.0,45.79302615286248
297166,2175.0,42.770263703593955
320657,6384.0,68.18339605136012
329370,3891.0000000000005,50.1430331501313
337840,3249.0,37.27320124474015
343667,2005.0000000000002,37.382513883180195
344327,2021.0000000000002,34.98062936231533
433086,1979.0000000000002,36.97835507402928
